Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,year,region,type_encoded
2016-09-25,1.58,678671,129774,347949,19205,181742,180490,1251,0,2016,BaltimoreWashington,0
2016-09-18,1.5,732424,151204,367425,18808,194985,191238,3746,0,2016,BaltimoreWashington,0
2016-09-11,1.34,885728,202958,494756,19881,168131,162753,4043,1335,2016,BaltimoreWashington,0
2016-09-04,1.51,762218,97714,442803,20154,201545,198131,2898,515,2016,BaltimoreWashington,0
2016-08-28,1.57,732545,72406,443668,15648,200822,194472,3978,2370,2016,BaltimoreWashington,0
2016-08-21,1.48,727279,68443,413651,21950,223234,203758,15197,4278,2016,BaltimoreWashington,0
2016-08-14,1.52,742291,68335,421188,24863,227903,219529,6984,1390,2016,BaltimoreWashington,0
2016-08-07,1.52,746493,71154,432956,28505,213876,210316,2285,1275,2016,BaltimoreWashington,0
2016-07-31,1.65,698627,64022,402053,31448,201103,197041,706,3355,2016,BaltimoreWashington,0
2016-07-24,1.64,719104,62896,422902,30142,203162,194809,1005,7346,2016,BaltimoreWashington,0
2016-07-17,1.47,730875,50831,400287,32758,246997,233727,2257,11012,2016,BaltimoreWashington,0
2016-07-10,1.37,831187,64925,489314,44218,232729,217648,2447,12632,2016,BaltimoreWashington,0
2016-07-03,1.38,844337,63050,501970,50114,229201,214851,2969,11381,2016,BaltimoreWashington,0
2016-06-26,1.36,830072,62585,509113,48949,209423,202616,3059,3748,2016,BaltimoreWashington,0
2016-06-19,1.37,850692,61789,523095,54129,211677,203569,3085,5022,2016,BaltimoreWashington,0
2016-06-12,1.34,850862,73620,507383,55744,214114,207727,3451,2935,2016,BaltimoreWashington,0
2016-06-05,1.33,860858,61074,537895,46714,215173,203788,8328,3056,2016,BaltimoreWashington,0
2016-05-29,1.19,890196,61989,577334,44265,206607,200150,3716,2741,2016,BaltimoreWashington,0
2016-05-22,1.19,837573,60638,540988,19544,216401,211306,2950,2145,2016,BaltimoreWashington,0
2016-05-15,1.12,901689,58943,629734,16372,196639,189850,6194,594,2016,BaltimoreWashington,0
2016-05-08,0.95,1103888,75492,804251,16818,207324,204118,2691,515,2016,BaltimoreWashington,0
2016-05-01,1.07,929492,67682,648816,15073,197919,194073,3244,602,2016,BaltimoreWashington,0
2016-04-24,1.13,915500,61118,638833,15861,199687,196063,3132,491,2016,BaltimoreWashington,0
2016-04-17,1.13,841839,59232,576827,15881,189898,185709,3034,1155,2016,BaltimoreWashington,0
2016-04-10,1.12,789348,64549,522216,13247,189334,186797,2536,0,2016,BaltimoreWashington,0
2016-04-03,1.14,770876,61532,523512,12784,173047,170235,2812,0,2016,BaltimoreWashington,0
2016-03-27,1.19,781627,59850,523531,15295,182950,179809,3140,0,2016,BaltimoreWashington,0
2016-03-20,1.1,880238,65397,614918,16342,183580,180891,2688,0,2016,BaltimoreWashington,0
2016-03-13,1.18,845574,59401,580134,18702,187336,184423,2913,0,2016,BaltimoreWashington,0
2016-03-06,1.21,819706,62539,541218,21461,194487,191744,2742,0,2016,BaltimoreWashington,0
2016-02-28,1.12,888570,61483,641585,20335,165165,162543,2622,0,2016,BaltimoreWashington,0
2016-02-21,1.2,739486,51913,446499,54665,186408,180041,6366,0,2016,BaltimoreWashington,0
2016-02-14,1.11,905144,72824,596869,60290,175159,168368,6791,0,2016,BaltimoreWashington,0
2016-02-07,1.1,966321,73754,621956,48009,222601,217666,4934,0,2016,BaltimoreWashington,0
2016-01-31,1.11,748107,52641,506187,24482,164795,161204,3591,0,2016,BaltimoreWashington,0
2016-01-24,1.09,1022653,69829,689359,24029,239435,233609,5825,0,2016,BaltimoreWashington,0
2016-01-17,1.17,836225,58788,535244,25662,216530,213938,2591,0,2016,BaltimoreWashington,0
2016-01-10,1.17,780979,60261,511067,26791,182859,180460,2398,0,2016,BaltimoreWashington,0
2016-01-03,1.11,816760,54491,583418,27147,151703,149408,2294,0,2016,BaltimoreWashington,0
2016-12-25,1.03,71168,27464,2892,6681,34130,33449,662,19,2016,Boise,0
2016-12-18,1.02,64421,28725,2337,5562,27796,27464,327,4,2016,Boise,0
2016-12-11,0.8,98346,30311,10382,4088,53564,53190,319,54,2016,Boise,0
2016-12-04,1.01,72471,34194,2996,3771,31508,31278,217,12,2016,Boise,0
2016-11-27,1.22,51941,23774,2187,5526,20453,20442,0,11,2016,Boise,0
2016-11-20,1.27,62526,28834,2463,7123,24105,24091,2,11,2016,Boise,0
2016-11-13,1.28,67212,32035,3042,6078,26055,25875,140,40,2016,Boise,0
2016-11-06,1.37,59587,24935,2893,7688,24070,23558,408,103,2016,Boise,0
2016-10-30,1.34,59788,25832,3018,7311,23625,22909,622,93,2016,Boise,0
2016-10-23,1.17,70652,27935,3769,6919,32027,30914,1098,14,2016,Boise,0
2016-10-16,1.09,77804,35485,2006,6689,33622,32413,1197,11,2016,Boise,0
2016-10-09,1.03,84234,38087,2089,6562,37495,28895,8576,24,2016,Boise,0
2016-10-02,0.9,106259,27542,8194,7082,63439,55975,7430,33,2016,Boise,0
2016-09-25,0.91,87557,39342,2342,5737,40135,34566,5564,4,2016,Boise,0
2016-09-18,0.97,82377,39719,2199,6951,33508,28303,5198,6,2016,Boise,0
2016-09-11,0.89,89822,41793,1783,6411,39834,38898,927,7,2016,Boise,0
2016-09-04,1.01,79683,37233,2055,7067,33326,31599,1718,7,2016,Boise,0
2016-08-28,0.99,78599,36837,1982,5918,33861,32151,1693,15,2016,Boise,0
2016-08-21,0.9,84013,40944,2078,4694,36295,34718,1577,0,2016,Boise,0
2016-08-14,0.93,88787,43525,1959,6569,36732,36020,671,41,2016,Boise,0
2016-08-07,0.76,70711,32775,2002,2,35931,35664,246,20,2016,Boise,0
2016-07-31,0.78,69620,30747,1920,2,36949,36949,0,0,2016,Boise,0
2016-07-24,0.74,65580,26990,1685,3,36901,36364,16,520,2016,Boise,0
2016-07-17,0.7,69052,27671,1614,6,39761,37729,799,1231,2016,Boise,0
2016-07-10,0.75,132511,39211,4977,3,88319,87357,20,941,2016,Boise,0
2016-07-03,0.77,136377,36208,6421,12,93735,93645,20,69,2016,Boise,0
2016-06-26,0.69,127961,34024,5853,9,88075,88025,34,15,2016,Boise,0
2016-06-19,0.7,129020,36119,6692,2,86206,86107,83,15,2016,Boise,0
2016-06-12,0.67,68721,34791,2578,2,31348,31094,245,8,2016,Boise,0
2016-06-05,0.63,95948,31280,5422,11,59233,59206,8,18,2016,Boise,0
2016-05-29,0.63,82549,29694,4570,6,48277,47343,926,8,2016,Boise,0
2016-05-22,0.65,75996,32112,3221,2,40660,40606,35,18,2016,Boise,0
2016-05-15,0.58,95143,34103,6201,15,54823,52268,2490,64,2016,Boise,0
2016-05-08,0.61,106409,43200,5397,7,57804,57439,330,34,2016,Boise,0
2016-05-01,0.63,82585,32240,3928,0,46416,46257,140,18,2016,Boise,0
2016-04-24,0.65,79562,36437,2849,590,39683,39671,5,6,2016,Boise,0
2016-04-17,0.67,109590,41244,9075,4729,54540,53939,14,585,2016,Boise,0
2016-04-10,0.82,86897,44344,3303,5340,33908,33662,156,89,2016,Boise,0
2016-04-03,0.82,97650,45952,5362,6316,40019,39916,94,8,2016,Boise,0
2016-03-27,0.81,101267,40228,6891,9114,45033,44763,242,27,2016,Boise,0
2016-03-20,0.94,83080,41756,2697,9201,29425,29351,62,11,2016,Boise,0
2016-03-13,0.83,100144,45571,4920,6448,43204,42383,784,36,2016,Boise,0
2016-03-06,0.86,97421,41714,5373,7307,43026,42481,527,17,2016,Boise,0
2016-02-28,0.89,89981,38143,5361,8767,37709,37217,472,20,2016,Boise,0
2016-02-21,0.74,93951,37807,9084,4890,42168,42111,50,6,2016,Boise,0
2016-02-14,0.94,78070,38043,5302,6617,28107,28012,85,9,2016,Boise,0
2016-02-07,0.82,123715,42825,14822,17989,48078,47555,452,69,2016,Boise,0
2016-01-31,0.94,83755,36196,4791,8440,34326,33947,46,332,2016,Boise,0
2016-01-24,0.9,58434,18003,4208,4714,31508,29874,1614,18,2016,Boise,0
2016-01-17,0.92,92385,34302,7884,8901,41296,40337,951,7,2016,Boise,0
2016-01-10,0.93,89880,31802,8347,9065,40666,40584,16,65,2016,Boise,0
2016-01-03,0.77,106106,43868,10276,5431,46529,46476,17,36,2016,Boise,0
2016-12-25,1.28,447600,4349,346516,4183,92551,91481,1069,0,2016,Boston,0
2016-12-18,1.09,579577,6123,488107,7765,77581,76135,1445,0,2016,Boston,0
2016-12-11,1.22,510800,3711,409645,5052,92390,90449,1634,306,2016,Boston,0
2016-12-04,1.26,473428,4371,393748,3449,71859,71377,307,173,2016,Boston,0
2016-11-27,1.45,391257,4243,317090,3069,66854,66399,31,423,2016,Boston,0
2016-11-20,1.39,475677,7917,356867,4915,105976,105940,35,0,2016,Boston,0
2016-11-13,1.56,397601,5233,314434,3726,74205,74205,0,0,2016,Boston,0
2016-11-06,1.62,366175,4016,284809,3370,73979,73804,0,175,2016,Boston,0
2016-10-30,1.67,376500,5542,304461,3787,62709,62705,3,0,2016,Boston,0
2016-10-23,1.58,439551,10444,335243,6144,87718,86922,0,795,2016,Boston,0
2016-10-16,1.6,453605,6472,345051,4742,97339,97339,0,0,2016,Boston,0
2016-10-09,1.49,468135,7435,366648,3837,90213,90213,0,0,2016,Boston,0
2016-10-02,1.59,459163,20871,340342,5003,92945,92945,0,0,2016,Boston,0
2016-09-25,1.53,483057,40864,338301,6515,97375,97375,0,0,2016,Boston,0
2016-09-18,1.45,489600,39970,346155,7080,96394,96061,332,0,2016,Boston,0
2016-09-11,1.27,672672,85204,470860,9617,106990,106090,900,0,2016,Boston,0
2016-09-04,1.41,541671,23481,381830,10225,126133,125074,665,393,2016,Boston,0
2016-08-28,1.37,582023,37757,388173,7653,148438,146015,1187,1235,2016,Boston,0
2016-08-21,1.31,586072,15419,353351,7923,209377,201033,7400,944,2016,Boston,0
2016-08-14,1.29,602605,20310,353845,8194,220254,215552,3642,1060,2016,Boston,0
2016-08-07,1.48,525387,15830,335033,8735,165788,165457,176,155,2016,Boston,0
2016-07-31,1.61,508949,12550,338691,8772,148935,147430,5,1499,2016,Boston,0
2016-07-24,1.52,509094,13099,343835,10965,141193,137804,11,3377,2016,Boston,0
2016-07-17,1.56,488508,11289,320250,10381,146586,142601,9,3975,2016,Boston,0
2016-07-10,1.32,549815,17289,359933,14982,157609,153175,49,4385,2016,Boston,0
2016-07-03,1.38,585484,11397,408601,17326,148159,143276,137,4745,2016,Boston,0
2016-06-26,1.33,626972,10379,433431,28898,154262,151759,142,2360,2016,Boston,0
2016-06-19,1.32,649660,10851,456521,38655,143632,141650,141,1840,2016,Boston,0
2016-06-12,1.29,632855,12891,421978,43090,154894,152477,87,2330,2016,Boston,0
2016-06-05,1.26,634989,8833,417995,51385,156774,155072,120,1581,2016,Boston,0
2016-05-29,1.08,673496,7708,461424,72848,131514,129466,142,1906,2016,Boston,0
2016-05-22,1.05,665086,4319,430580,81859,148326,146904,136,1285,2016,Boston,0
2016-05-15,1.06,709563,5790,517840,63055,122877,122533,198,144,2016,Boston,0
2016-05-08,0.85,924194,6383,698437,80414,138959,138862,96,0,2016,Boston,0
2016-05-01,1.05,716003,4764,520369,54779,136089,136034,54,0,2016,Boston,0
2016-04-24,1.07,626895,4157,446540,51958,124237,123011,152,1073,2016,Boston,0
2016-04-17,1.08,617179,3871,438210,43926,131170,131035,109,25,2016,Boston,0
2016-04-10,0.99,652546,4326,456029,74452,117738,117521,87,129,2016,Boston,0
2016-04-03,1.11,559718,4683,406529,42112,106393,106262,131,0,2016,Boston,0
2016-03-27,1.08,639420,4253,463187,51477,120501,120388,112,0,2016,Boston,0
2016-03-20,1.1,645235,5364,490720,34714,114436,114286,150,0,2016,Boston,0
2016-03-13,1.05,651211,5420,487268,46932,111590,111440,150,0,2016,Boston,0
2016-03-06,1.1,600639,6153,434300,36352,123833,123551,282,0,2016,Boston,0
2016-02-28,1.08,652943,6632,506048,36934,103327,102683,644,0,2016,Boston,0
2016-02-21,1.14,553709,5600,388956,36873,122278,120040,2238,0,2016,Boston,0
2016-02-14,0.98,751656,7591,560259,58165,125640,123660,1980,0,2016,Boston,0
2016-02-07,1.05,678810,5986,511548,25200,136074,134178,1896,0,2016,Boston,0
2016-01-31,1.03,651616,6037,501280,25252,119046,118219,827,0,2016,Boston,0
2016-01-24,1.05,670376,3107,482030,26052,159185,158806,378,0,2016,Boston,0
2016-01-17,1.02,665217,4392,486767,32505,141551,141307,243,0,2016,Boston,0
2016-01-10,1.15,536674,4120,391873,13321,127359,127177,182,0,2016,Boston,0
2016-01-03,1.01,610622,5112,492477,21182,91849,91579,269,0,2016,Boston,0
2016-12-25,1.41,103035,1197,64434,42,37361,35701,1660,0,2016,BuffaloRochester,0
2016-12-18,1.36,85340,1276,52115,60,31888,29696,2191,0,2016,BuffaloRochester,0
2016-12-11,1.47,89037,967,62963,54,25052,23315,1736,0,2016,BuffaloRochester,0
2016-12-04,1.66,72203,960,54243,22,16976,15683,1256,37,2016,BuffaloRochester,0
2016-11-27,1.57,73261,1006,50581,12,21660,21641,0,19,2016,BuffaloRochester,0
2016-11-20,1.63,78675,1426,52281,27,24940,24940,0,0,2016,BuffaloRochester,0
2016-11-13,1.6,87366,1891,56517,84,28872,28872,0,0,2016,BuffaloRochester,0
2016-11-06,1.64,81691,1321,56677,79,23612,23400,0,212,2016,BuffaloRochester,0
2016-10-30,1.65,71163,1130,56077,81,13874,13874,0,0,2016,BuffaloRochester,0
2016-10-23,1.6,110744,1171,50973,78,58521,58521,0,0,2016,BuffaloRochester,0
2016-10-16,1.36,131180,1282,61796,50,68051,68051,0,0,2016,BuffaloRochester,0
2016-10-09,1.37,135059,1117,68716,112,65113,65113,0,0,2016,BuffaloRochester,0
2016-10-02,1.35,132143,1119,62757,90,68176,68176,0,0,2016,BuffaloRochester,0
2016-09-25,1.4,134327,4198,62355,35,67736,67732,4,0,2016,BuffaloRochester,0
2016-09-18,1.54,122908,2692,70019,52,50144,49337,806,0,2016,BuffaloRochester,0
2016-09-11,1.38,124095,1657,81283,65,41088,39986,1102,0,2016,BuffaloRochester,0
2016-09-04,1.48,95473,3089,67790,68,24524,24296,53,175,2016,BuffaloRochester,0
2016-08-28,1.4,114645,2682,64245,67,47650,46025,0,1625,2016,BuffaloRochester,0
2016-08-21,1.33,119865,1543,70785,43,47493,46013,0,1480,2016,BuffaloRochester,0
2016-08-14,1.41,114328,2645,72836,71,38774,37629,0,1145,2016,BuffaloRochester,0
2016-08-07,1.5,104314,1781,74560,42,27929,26109,0,1820,2016,BuffaloRochester,0
2016-07-31,1.45,108088,1792,64652,54,41589,40894,0,695,2016,BuffaloRochester,0
2016-07-24,1.44,104126,1156,63920,61,38986,34596,0,4390,2016,BuffaloRochester,0
2016-07-17,1.3,141880,1389,71781,102,68607,66177,0,2430,2016,BuffaloRochester,0
2016-07-10,1.25,183741,1425,88105,46,94164,89911,0,4252,2016,BuffaloRochester,0
2016-07-03,1.3,180609,1424,85758,53,93372,88472,0,4900,2016,BuffaloRochester,0
2016-06-26,1.26,160806,1326,74746,83,84649,81949,0,2700,2016,BuffaloRochester,0
2016-06-19,1.23,169756,1776,80406,57,87514,84829,0,2685,2016,BuffaloRochester,0
2016-06-12,1.15,182471,4629,79865,107,97870,95730,0,2140,2016,BuffaloRochester,0
2016-06-05,1.15,173445,1451,78923,258,92812,90282,0,2530,2016,BuffaloRochester,0
2016-05-29,1.19,147423,1442,81631,353,63995,63440,0,555,2016,BuffaloRochester,0
2016-05-22,1.12,168251,1532,72247,856,93614,92304,0,1310,2016,BuffaloRochester,0
2016-05-15,1.09,164790,1410,72074,1160,90144,90144,0,0,2016,BuffaloRochester,0
2016-05-08,1.09,201142,1613,97493,764,101271,101271,0,0,2016,BuffaloRochester,0
2016-05-01,1.11,171441,1248,69913,1640,98638,98638,0,0,2016,BuffaloRochester,0
2016-04-24,1.15,171142,1391,69260,1784,98706,98706,0,0,2016,BuffaloRochester,0
2016-04-17,1.14,169355,1167,67584,57,100545,100545,0,0,2016,BuffaloRochester,0
2016-04-10,1.1,152123,1278,55802,53,94989,94766,113,109,2016,BuffaloRochester,0
2016-04-03,1.04,154802,1164,72025,18,81593,81542,51,0,2016,BuffaloRochester,0
2016-03-27,1.13,149462,1511,64644,44,83262,83262,0,0,2016,BuffaloRochester,0
2016-03-20,1.14,140364,1110,62343,54,76855,76855,0,0,2016,BuffaloRochester,0
2016-03-13,1.11,163501,1393,77324,25,84757,84757,0,0,2016,BuffaloRochester,0
2016-03-06,1.36,141228,1473,60516,32,79205,79197,8,0,2016,BuffaloRochester,0
2016-02-28,1.22,154057,1658,78720,36,73641,72861,780,0,2016,BuffaloRochester,0
2016-02-21,1.31,126537,1500,52665,31,72340,69018,3322,0,2016,BuffaloRochester,0
2016-02-14,1.29,137984,1921,60453,40,75568,73328,2240,0,2016,BuffaloRochester,0
2016-02-07,1.3,177910,2262,76308,123,99215,97444,1771,0,2016,BuffaloRochester,0
2016-01-31,1.21,164453,2015,81676,88,80673,79715,957,0,2016,BuffaloRochester,0
2016-01-24,1.31,147469,467,54309,131,92561,92435,126,0,2016,BuffaloRochester,0
2016-01-17,1.38,132286,1778,49448,120,80938,80938,0,0,2016,BuffaloRochester,0
2016-01-10,1.35,134522,1619,52034,110,80759,80759,0,0,2016,BuffaloRochester,0
2016-01-03,1.39,130620,1486,57210,98,71824,71824,0,0,2016,BuffaloRochester,0
2016-12-25,0.94,5414937,1579234,2192460,99997,1543243,1405419,99069,38754,2016,California,0
